mechanism_name,strategy_name,first_strategy_name,second_strategy_name,domain_name,year,n_outcomes,opposition,time_limit,n_rounds,f0,f1,reserved0,reserved1,reserved,resrank0,resrank1,resrank,strategy_params,second_strategy_params,perm_indx,max_pareto_welfare,utility_ranges,rank_ranges,ordinal_opposition,time,run_time,failed,succeeded,noffers0,noffers1,noffers,nreceived0,nreceived1,nreceived,nseen,pareto_dist,nash_dist,kalai_dist,modified_kalai_dist,max_welfare,ordinal_pareto_dist,ordinal_nash_dist,ordinal_kalai_dist,ordinal_modified_kalai_dist,ordinal_max_welfare,pareto_optimality,nash_optimality,kalai_optimality,modified_kalai_optimality,max_welfare_optimality,ordinal_pareto_optimality,ordinal_nash_optimality,ordinal_kalai_optimality,ordinal_modified_kalai_optimality,ordinal_max_welfare_optimality,steps,full_time,agreement_utils,agreement_ranks,welfare,welfare_rank,agreement,run_id,failed_after_init,trial
TAU0,Yushu-AgentK,Yushu,AgentK,ItexvsCypress,2010,180,0.39556846,,181,-1.0,-1.0,-0.035556324,-0.038648717,"(-0.035556325341615694, -0.03864871609160702)",-0.035556324,-0.038648717,"[-0.035556325341615694, -0.03864871609160702]",,,0,1.4486197,"[[0.0, 1.0], [0.0, 0.9999999999999999]]","[[0.005555555555555556, 1.0], [0.005555555555555556, 1.0]]",0.20964402,0.069628745,0.034068853,False,True,33,33,"[33, 33]",33,33,"[33, 33]",65,0.0,0.0,0.0,0.0,1.4486197,0.0,0.0,0.0,0.0,1.7111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,0.07119863,"(0.771555357672274, 0.6770643082030197)","(0.8222222222222222, 0.8888888888888888)",1.4486197,1.7111111,"('$3.47', '45 days', '30 days after delivery', '5% spoilage allowed')",-2853178933281944320,False,0
AOt,AgentK,AgentK,AgentK,EnglandZimbabwe,2010,576,0.2681894,180.0,,-1.0,-1.0,-0.1221267,-0.10074251,"(-0.12212669484521901, -0.10074251354260369)",-0.1221267,-0.10074251,"[-0.12212669484521901, -0.10074251354260369]",,,0,1.6402689,"[[0.0, 1.0], [0.0, 1.0000000000000002]]","[[0.001736111111111111, 1.0], [0.001736111111111111, 1.0]]",0.09823996,1298.9125,1298.7489,False,True,43,24,"[43, 24]",24,43,"[24, 43]",67,0.0,0.084472306,0.0,0.0,1.606743,0.0,0.06271664,0.002455232,0.002455232,1.8611112,1.0,0.94026905,1.0,1.0,0.9795607,1.0,0.9555755,0.99826086,0.99826086,0.9972093,58609.0,130.17778,"(0.8061339805983604, 0.8006090112931925)","(0.9270833333333334, 0.9340277777777778)",1.606743,1.8611112,"('$10 billion', 'Reduction equal to half of fund size', 'Zimbabwe will increase tariffs on imports', 'England will increase imports', 'Creation of committee to discuss creation of fund')",-2360235174312611841,False,0
AOr,AgentK,AgentK,AgentK,ItexvsCypress,2010,180,0.39556846,,181,-1.0,-1.0,-0.035556324,-0.038648717,"(-0.035556325341615694, -0.03864871609160702)",-0.035556324,-0.038648717,"[-0.035556325341615694, -0.03864871609160702]",,,0,1.4486197,"[[0.0, 1.0], [0.0, 0.9999999999999999]]","[[0.005555555555555556, 1.0], [0.005555555555555556, 1.0]]",0.20964402,2.747113,2.730843,False,True,22,16,"[22, 16]",16,22,"[16, 22]",37,0.0,0.0,0.0,0.0,1.4486197,0.0,0.0,0.0,0.0,1.7111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,136.0,2.751163,"(0.771555357672274, 0.6770643082030197)","(0.8222222222222222, 0.8888888888888888)",1.4486197,1.7111111,"('$3.47', '45 days', '30 days after delivery', '5% spoilage allowed')",8851665438531686723,False,0
AOt,Nozomi-IAMhaggler,Nozomi,IAMhaggler,ItexvsCypress,2010,180,0.39556846,180.0,,-1.0,-1.0,-0.035556324,-0.038648717,"(-0.035556325341615694, -0.03864871609160702)",-0.035556324,-0.038648717,"[-0.035556325341615694, -0.03864871609160702]",,,0,1.4486197,"[[0.0, 1.0], [0.0, 0.9999999999999999]]","[[0.005555555555555556, 1.0], [0.005555555555555556, 1.0]]",0.20964402,1826.3004,1826.1323,False,True,11,10,"[11, 10]",10,11,"[10, 11]",21,0.10168832,0.113195814,0.113195814,0.113195814,1.2925379,0.14582671,0.14582671,0.14582671,0.14582671,1.5055555,0.9280955,0.9199585,0.9199585,0.9199585,0.8922549,0.8963089,0.8963089,0.8963089,0.8963089,0.8798701,66833.0,182.95308,"(0.7112985556545197, 0.5812394166032727)","(0.7277777777777777, 0.7777777777777778)",1.2925379,1.5055555,"('$3.71', '45 days', 'Upon delivery', '5% spoilage allowed')",4447229143486724456,False,0
AOt,AgentK-Yushu,AgentK,Yushu,EnglandZimbabwe,2010,576,0.2681894,180.0,,-1.0,-1.0,-0.1221267,-0.10074251,"(-0.12212669484521901, -0.10074251354260369)",-0.1221267,-0.10074251,"[-0.12212669484521901, -0.10074251354260369]",,,0,1.6402689,"[[0.0, 1.0], [0.0, 1.0000000000000002]]","[[0.001736111111111111, 1.0], [0.001736111111111111, 1.0]]",0.09823996,1594.7668,1594.6002,False,True,75,21,"[75, 21]",21,75,"[21, 75]",95,0.0,0.29182532,0.20735353,0.20735353,1.5232888,0.0,0.29373133,0.23918042,0.23918042,1.6840278,1.0,0.7936483,0.8533789,0.8533789,0.9286823,1.0,0.7919394,0.83057976,0.83057976,0.9023256,7734.0,159.51357,"(0.623848730324978, 0.8994400650639789)","(0.6961805555555556, 0.9878472222222222)",1.5232888,1.6840278,"('$50 Billion', 'Reduction equal to half of fund size', 'Zimbabwe will increase tariffs on imports', 'England will increase imports', 'Creation of fund')",5646747375511433243,False,0
TAU0,IAMhaggler-Nozomi,IAMhaggler,Nozomi,Travel,2010,188160,0.27286538,,188161,-1.0,-1.0,-0.11061716,-0.1086063,"(-0.11061716193909855, -0.10860630386153043)",-0.11061716,-0.1086063,"[-0.11061716193909855, -0.10860630386153043]",,,0,1.6223549,"[[0.0, 1.0], [0.0, 1.0]]","[[5.314625850340136e-06, 1.0], [1.0629251700680271e-05, 1.0]]",0.029469283,6.3122296,6.2948623,False,True,5389,5389,"[5389, 5389]",5389,5389,"[5389, 5389]",10777,0.0,0.0,0.0,0.0,1.6187286,0.0,0.0,0.0,0.0,1.9643867,1.0,1.0,1.0,1.0,0.9977648,1.0,1.0,1.0,1.0,1.0,5389.0,7.069287,"(0.8391266315785179, 0.7796020142559059)","(0.993016581632653, 0.9713701105442177)",1.6187286,1.9643867,"('Hospitality', 'Nightlife and entertainment', 'International cuisine', 'Markets', 'Cinema', 'Bike tours', 'Monuments')",1244394151237347055,False,0
TAU0,Yushu-Nozomi,Yushu,Nozomi,EnglandZimbabwe,2010,576,0.2681894,,577,-1.0,-1.0,-0.1221267,-0.10074251,"(-0.12212669484521901, -0.10074251354260369)",-0.1221267,-0.10074251,"[-0.12212669484521901, -0.10074251354260369]",,,0,1.6402689,"[[0.0, 1.0], [0.0, 1.0000000000000002]]","[[0.001736111111111111, 1.0], [0.001736111111111111, 1.0]]",0.09823996,0.069237225,0.052671004,False,True,42,42,"[42, 42]",42,42,"[42, 42]",83,0.0,0.08402001,0.000860304,0.000860304,1.6059331,0.0,0.060265817,0.0,0.0,1.8611112,1.0,0.9405889,0.9993917,0.9993917,0.9790669,1.0,0.9573115,1.0,1.0,0.9972093,42.0,0.07236697,"(0.8061829794061371, 0.7997501037848405)","(0.9288194444444444, 0.9322916666666666)",1.6059331,1.8611112,"('$50 Billion', 'Reduction equal to fund size', 'Zimbabwe will increase tariffs on imports', 'England will increase imports', 'Creation of committee to discuss creation of fund')",954306048716980806,False,0
AOt,IAMhaggler-AgentK,IAMhaggler,AgentK,ItexvsCypress,2010,180,0.39556846,180.0,,-1.0,-1.0,-0.035556324,-0.038648717,"(-0.035556325341615694, -0.03864871609160702)",-0.035556324,-0.038648717,"[-0.035556325341615694, -0.03864871609160702]",,,0,1.4486197,"[[0.0, 1.0], [0.0, 0.9999999999999999]]","[[0.005555555555555556, 1.0], [0.005555555555555556, 1.0]]",0.20964402,1857.1682,1824.8259,False,True,5,5,"[5, 5]",5,5,"[5, 5]",10,0.0,0.23481956,0.23481956,0.23481956,1.330023,0.0,0.31155723,0.31155723,0.31155723,1.5388889,1.0,0.8339575,0.8339575,0.8339575,0.9181313,1.0,0.77846503,0.77846503,0.77846503,0.89935064,50472.0,185.91676,"(0.867349992652292, 0.4626730444526094)","(0.9388888888888889, 0.6)",1.330023,1.5388889,"('$3.47', '30 days', 'Upon delivery', '5% spoilage allowed')",579693069185925413,False,0
AOt,AgentK,AgentK,AgentK,ItexvsCypress,2010,180,0.39556846,180.0,,-1.0,-1.0,-0.035556324,-0.038648717,"(-0.035556325341615694, -0.03864871609160702)",-0.035556324,-0.038648717,"[-0.035556325341615694, -0.03864871609160702]",,,0,1.4486197,"[[0.0, 1.0], [0.0, 0.9999999999999999]]","[[0.005555555555555556, 1.0], [0.005555555555555556, 1.0]]",0.20964402,1148.1924,1129.1742,False,True,24,16,"[24, 16]",16,24,"[16, 24]",40,0.0,0.0,0.0,0.0,1.4486197,0.0,0.0,0.0,0.0,1.7111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66177.0,115.0712,"(0.771555357672274, 0.6770643082030197)","(0.8222222222222222, 0.8888888888888888)",1.4486197,1.7111111,"('$3.47', '45 days', '30 days after delivery', '5% spoilage allowed')",6151050458858378560,False,0
AOr,Nozomi-IAMhaggler,Nozomi,IAMhaggler,ItexvsCypress,2010,180,0.39556846,,181,-1.0,-1.0,-0.035556324,-0.038648717,"(-0.035556325341615694, -0.03864871609160702)",-0.035556324,-0.038648717,"[-0.035556325341615694, -0.03864871609160702]",,,0,1.4486197,"[[0.0, 1.0], [0.0, 0.9999999999999999]]","[[0.005555555555555556, 1.0], [0.005555555555555556, 1.0]]",0.20964402,3.920689,3.9037676,False,False,2,3,"[2, 3]",3,2,"[3, 2]",5,0.8965559,1.0787374,1.0787374,1.0787374,-0.07420504,0.9978372,1.2108562,1.2108562,1.2108562,0.0,0.36603925,0.23721746,0.23721746,0.23721746,0.0,0.2904808,0.13901207,0.13901207,0.13901207,0.0,181.0,3.9244747,"(-0.035556325341615694, -0.03864871609160702)","(0.0, 0.0)",-0.07420504,0.0,,7541244612945822022,False,0
